InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
r5dn.xlarge,us-east-1,use1-az5,3.0,0.0,0.1258
r5dn.xlarge,us-east-1,use1-az2,3.0,0.0,0.1343
r5dn.xlarge,us-east-1,use1-az6,3.0,0.0,0.1299
r5dn.xlarge,us-east-1,use1-az1,3.0,0.0,0.1302
r5dn.xlarge,us-east-1,use1-az4,3.0,0.0,0.1288
m6idn.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2604
m6idn.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2616
m6idn.2xlarge,us-east-1,use1-az5,3.0,0.0,0.253
r5.large,us-east-1,use1-az1,3.0,0.0,0.062
r5.large,us-east-1,use1-az6,3.0,0.0,0.0594
r5.large,us-east-1,use1-az2,3.0,0.0,0.0535
r5.large,us-east-1,use1-az4,3.0,0.0,0.0517
r5.large,us-east-1,use1-az5,3.0,0.0,0.0414
t2.micro,us-east-1,use1-az5,3.0,0.0,0.0067
t2.micro,us-east-1,use1-az6,3.0,0.0,0.004
t2.micro,us-east-1,use1-az4,3.0,0.0,0.007
t2.micro,us-east-1,use1-az1,3.0,0.0,0.0067
t2.micro,us-east-1,use1-az2,3.0,0.0,0.0059
t2.micro,us-east-1,use1-az3,3.0,0.0,0.0075
a1.xlarge,us-east-1,use1-az4,3.0,0.0,0.1011
c5.large,us-east-1,use1-az1,3.0,0.0,0.062
c5.large,us-east-1,use1-az5,3.0,0.0,0.0618
c5.large,us-east-1,use1-az2,3.0,0.0,0.0545
c5.large,us-east-1,use1-az6,3.0,0.0,0.0612
c5.large,us-east-1,use1-az4,3.0,0.0,0.0501
x2gd.large,us-east-1,use1-az4,3.0,0.0,0.0798
x2gd.large,us-east-1,use1-az5,3.0,0.0,0.08
x2gd.large,us-east-1,use1-az6,3.0,0.0,0.0714
x2gd.large,us-east-1,use1-az2,3.0,0.0,0.0804
x2gd.large,us-east-1,use1-az1,3.0,0.0,0.0742
h1.4xlarge,us-east-1,use1-az6,3.0,0.0,0.644
h1.4xlarge,us-east-1,use1-az5,3.0,0.0,0.5627
h1.4xlarge,us-east-1,use1-az4,3.0,0.0,0.6439
i2.2xlarge,us-east-1,use1-az2,3.0,0.0,0.5181
i2.2xlarge,us-east-1,use1-az4,3.0,0.0,0.4448
i2.2xlarge,us-east-1,use1-az6,3.0,0.0,0.5236
i2.2xlarge,us-east-1,use1-az3,3.0,0.0,0.4518
i4g.large,us-east-1,use1-az5,3.0,0.0,0.0633
i4g.large,us-east-1,use1-az2,3.0,0.0,0.0625
i4g.large,us-east-1,use1-az6,3.0,0.0,0.0635
i4g.large,us-east-1,use1-az4,3.0,0.0,0.0549
m6idn.4xlarge,us-east-1,use1-az6,3.0,0.0,0.5035
m6idn.4xlarge,us-east-1,use1-az4,3.0,0.0,0.5031
d3en.6xlarge,us-east-1,use1-az4,3.0,0.0,0.9912
r5ad.xlarge,us-east-1,use1-az5,3.0,0.0,0.1125
r5ad.xlarge,us-east-1,use1-az6,3.0,0.0,0.1396
r5ad.xlarge,us-east-1,use1-az4,3.0,0.0,0.1296
r5ad.xlarge,us-east-1,use1-az1,3.0,0.0,0.1404
r5ad.xlarge,us-east-1,use1-az2,3.0,0.0,0.1425
c6gd.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2587
c6gd.2xlarge,us-east-1,use1-az4,3.0,0.0,0.184
c6gd.2xlarge,us-east-1,use1-az2,3.0,0.0,0.1928
c6gd.2xlarge,us-east-1,use1-az1,3.0,0.0,0.2584
c6gd.2xlarge,us-east-1,use1-az6,3.0,0.0,0.1872
m6g.8xlarge,us-east-1,use1-az5,3.0,0.0,0.9907
m6g.8xlarge,us-east-1,use1-az4,3.0,0.0,0.6667
m6g.8xlarge,us-east-1,use1-az6,3.0,0.0,0.7883
m6g.8xlarge,us-east-1,use1-az2,3.0,0.0,0.9865
is4gen.xlarge,us-east-1,use1-az1,3.0,0.0,0.2001
is4gen.xlarge,us-east-1,use1-az6,3.0,0.0,0.1993
is4gen.xlarge,us-east-1,use1-az4,3.0,0.0,0.1941
is4gen.xlarge,us-east-1,use1-az2,3.0,0.0,0.1988
r7g.8xlarge,us-east-1,use1-az4,3.0,0.0,0.9504
g5.4xlarge,us-east-1,use1-az5,3.0,0.0,0.6854
g5.4xlarge,us-east-1,use1-az4,3.0,0.0,0.7247
m5zn.xlarge,us-east-1,use1-az1,3.0,0.0,0.1297
m5zn.xlarge,us-east-1,use1-az6,3.0,0.0,0.13
