InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c6gn.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2363
c6gn.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1925
r5b.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.4334
r5b.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.5916
r5b.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.7004
d3.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1877
d3.xlarge,us-west-2,usw2-az2,3.0,0.0,0.2221
d3.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1917
d3.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1922
c7g.16xlarge,us-west-2,usw2-az3,3.0,0.0,0.9047
m6in.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.9636
m6in.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.8347
m6in.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.8097
c6a.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.1927
c6a.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.1645
c6a.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1983
c6a.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2003
m6in.large,us-west-2,usw2-az2,3.0,0.0,0.046
m6in.large,us-west-2,usw2-az3,3.0,0.0,0.0554
m6in.large,us-west-2,usw2-az1,3.0,0.0,0.0507
g4ad.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1847
g4ad.xlarge,us-west-2,usw2-az1,3.0,0.0,0.2229
g4ad.xlarge,us-west-2,usw2-az3,3.0,0.0,0.164
c5n.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2404
c5n.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2299
c5n.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.1905
c5n.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2202
c4.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.3583
c4.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.2987
c4.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.4578
r5.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2541
