SpotPrice,Savings,SPS,AZ,Region,InstanceType,IF,time
1.0646,58,1,use1-az6,us-east-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
1.1543,60,3,euw1-az1,eu-west-1,c6i.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.0413,85,3,use2-az2,us-east-2,r4.xlarge,3.0,2022-07-12 04:20:02+00:00
0.0016,69,3,use1-az1,us-east-1,t3.nano,3.0,2022-07-12 04:20:02+00:00
1.0654,80,1,apse1-az3,ap-southeast-1,m5dn.16xlarge,2.0,2022-07-12 04:20:02+00:00
1.1543,60,3,euw1-az2,eu-west-1,c6i.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.03,80,3,eun1-az3,eu-north-1,r5d.large,2.5,2022-07-12 04:20:02+00:00
0.8814,70,3,apne1-az1,ap-northeast-1,g4dn.8xlarge,1.0,2022-07-12 04:20:02+00:00
0.2218,41,3,aps1-az2,ap-south-1,c6a.4xlarge,2.0,2022-07-12 04:20:02+00:00
0.1521,78,3,use2-az1,us-east-2,c5.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.0277,59,3,aps1-az3,ap-south-1,m5ad.large,2.5,2022-07-12 04:20:02+00:00
0.0035,70,3,use1-az6,us-east-1,t2.micro,2.5,2022-07-12 04:20:02+00:00
1.0662,83,1,use2-az3,us-east-2,r6i.24xlarge,3.0,2022-07-12 04:20:02+00:00
0.8804,67,1,apse2-az3,ap-southeast-2,m5a.12xlarge,1.0,2022-07-12 04:20:02+00:00
0.03,80,3,eun1-az2,eu-north-1,r5d.large,2.5,2022-07-12 04:20:02+00:00
0.1464,79,3,apne3-az3,ap-northeast-3,r5d.2xlarge,1.5,2022-07-12 04:20:02+00:00
0.0435,75,3,apne1-az2,ap-northeast-1,r4.large,3.0,2022-07-12 04:20:02+00:00
1.1543,68,3,euw1-az1,eu-west-1,c6id.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.2156,43,3,aps1-az2,ap-south-1,c5a.4xlarge,2.5,2022-07-12 04:20:02+00:00
0.8802,70,3,apne1-az4,ap-northeast-1,m6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,81,3,euw3-az2,eu-west-3,r5n.8xlarge,2.0,2022-07-12 04:20:02+00:00
0.0029,70,3,euc1-az3,eu-central-1,t4g.micro,3.0,2022-07-12 04:20:02+00:00
0.0277,77,3,aps1-az3,ap-south-1,m5d.large,3.0,2022-07-12 04:20:02+00:00
1.1543,68,3,euw1-az2,eu-west-1,c6id.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.0311,69,3,apse1-az2,ap-southeast-1,c5ad.large,2.5,2022-07-12 04:20:02+00:00
0.1521,69,3,use1-az1,us-east-1,m5dn.xlarge,2.5,2022-07-12 04:20:02+00:00
0.5208,71,3,usw1-az3,us-west-1,m5.8xlarge,1.0,2022-07-12 04:20:02+00:00
0.1464,79,3,apne3-az2,ap-northeast-3,r5d.2xlarge,1.5,2022-07-12 04:20:02+00:00
0.0419,76,3,use2-az1,us-east-2,m6a.xlarge,2.5,2022-07-12 04:20:02+00:00
0.3619,78,3,apse1-az3,ap-southeast-1,r5b.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.5274,79,3,apne2-az1,ap-northeast-2,r5ad.8xlarge,3.0,2022-07-12 04:20:02+00:00
0.8802,70,3,apne1-az2,ap-northeast-1,m6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.03,80,3,eun1-az1,eu-north-1,r5d.large,2.5,2022-07-12 04:20:02+00:00
0.033,81,3,apne2-az3,ap-northeast-2,r5n.large,2.0,2022-07-12 04:20:02+00:00
0.5333,81,3,euw3-az3,eu-west-3,r5n.8xlarge,2.0,2022-07-12 04:20:02+00:00
0.1522,82,3,apse2-az1,ap-southeast-2,m5zn.2xlarge,2.5,2022-07-12 04:20:02+00:00
0.0311,65,3,apse1-az3,ap-southeast-1,c5a.large,3.0,2022-07-12 04:20:02+00:00
0.0346,74,3,euw2-az1,eu-west-2,r5a.large,3.0,2022-07-12 04:20:02+00:00
1.0663,78,3,aps1-az3,ap-south-1,r5.16xlarge,2.5,2022-07-12 04:20:02+00:00
1.1543,68,3,euw1-az3,eu-west-1,c6id.16xlarge,2.5,2022-07-12 04:20:02+00:00
1.0979,69,3,apne2-az3,ap-northeast-2,c5.18xlarge,3.0,2022-07-12 04:20:02+00:00
0.8802,70,3,apne1-az1,ap-northeast-1,m6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
1.0663,85,3,use2-az1,us-east-2,r6id.24xlarge,2.0,2022-07-12 04:20:02+00:00
0.0158,70,3,apse2-az3,ap-southeast-2,t3.medium,3.0,2022-07-12 04:20:02+00:00
0.03,78,3,eun1-az3,eu-north-1,r5.large,2.5,2022-07-12 04:20:02+00:00
0.1522,75,3,apne1-az4,ap-northeast-1,r5.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.5339,80,3,euw3-az3,eu-west-3,r5d.8xlarge,3.0,2022-07-12 04:20:02+00:00
0.1522,75,3,use1-az2,us-east-1,r6id.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.03,78,3,eun1-az2,eu-north-1,r5.large,2.5,2022-07-12 04:20:02+00:00
0.0035,70,3,use2-az1,us-east-2,t2.micro,2.5,2022-07-12 04:20:02+00:00
0.2004,70,3,use2-az1,us-east-2,x2gd.2xlarge,2.5,2022-07-12 04:20:02+00:00
1.1543,69,2,euw1-az1,eu-west-1,m5ad.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.219,63,3,usw2-az4,us-west-2,r5.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.3419,74,3,apse2-az1,ap-southeast-2,m5d.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.2155,67,3,use1-az5,us-east-1,r5d.2xlarge,2.0,2022-07-12 04:20:02+00:00
0.8802,69,3,apne1-az4,ap-northeast-1,m6gd.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.0407,70,3,use1-az6,us-east-1,r5.large,3.0,2022-07-12 04:20:02+00:00
